market,period,product_id,market_share,calories,organic,price,out_share,logit_dv,num,avg_price,NCompet,avg_calories,NOrganic,NOrganic2,min_dist_col,market_id
1,1,2,.052560646,1.6,1,2.1199999,.36657679,-1.9422404,3,2.0749998,9,1.888889,4,4,1.59,1
1,1,3,.24213837,1.98,0,1.41,.36657679,-.41469869,4,1.25,9,1.8466667,4,0,1.98,1
1,1,4,.078167118,1.71,1,1.74,.36657679,-1.5453589,3,1.75,9,1.8766667,4,4,1.61,1
1,1,7,.029200358,1.61,1,2.02,.36657679,-2.5300272,3,1.995,9,1.8877778,4,4,1.6,1
1,1,8,.0058400719,2.04,0,1.22,.36657679,-4.1394649,2,1.3099999,9,1.84,4,0,2.04,1
1,1,10,.10062893,2.04,0,1.1799999,.36657679,-1.2927682,2,1.2099999,9,1.84,4,0,2.04,1
1,1,11,.048742138,1.59,1,1.75,.36657679,-2.0176642,2,1.9200001,9,1.89,4,4,1.6,1
1,1,16,.048742138,1.97,0,1.3200001,.36657679,-2.0176642,3,1.26,9,1.8477778,4,0,1.98,1
1,1,18,.0051662172,1.98,0,1.36,.36657679,-4.2620673,4,1.4033334,9,1.8466667,4,0,1.98,1
1,1,20,.022237197,2.0799999,0,1.28,.36657679,-2.8024416,4,1.3100001,9,1.8355556,4,0,2.04,1
2,1,2,.039843876,1.6,1,2.05,.42283297,-2.3620086,3,2.1099999,13,1.9276923,4,4,1.61,2
2,1,4,.12652464,1.71,1,1.77,.42283297,-1.2065401,3,1.735,13,1.9192307,4,4,1.62,2
2,1,7,.072369494,1.61,1,2.05,.42283297,-1.7651924,3,1.98,13,1.926923,4,4,1.6,2
2,1,8,.077248335,2.04,0,1.3099999,.42283297,-1.6999519,2,1.22,13,1.8938462,4,0,2.04,2
2,1,9,.013335502,2,0,1.41,.42283297,-3.4565475,2,1.2699999,13,1.8969231,4,0,2.01,2
2,1,10,.022280047,2.04,0,1.21,.42283297,-2.9432857,2,1.1799998,13,1.8938462,4,0,2.04,2
2,1,12,.088469669,2.1600001,0,1.22,.42283297,-1.5643175,3,1.205,13,1.8846153,4,0,2.0799999,2
2,1,13,.020165881,1.95,0,1.27,.42283297,-3.0429852,2,1.3600001,13,1.9007692,4,0,1.97,2
2,1,14,.0065051229,1.62,1,1.97,.42283297,-4.1743875,1,,13,1.9261538,4,4,1.61,2
2,1,15,.029598309,2.01,0,1.38,.42283297,-2.65926,2,1.4699999,13,1.8961538,4,0,2,2
2,1,16,.011221337,1.97,0,1.25,.42283297,-3.6291602,3,1.295,13,1.8992307,4,0,1.98,2
2,1,18,.040006503,1.98,0,1.35,.42283297,-2.3579352,4,1.4066668,13,1.8984615,4,0,1.97,2
2,1,19,.013986014,1.89,0,1.4,.42283297,-3.4089193,3,1.41,13,1.9053845,4,0,1.95,2
2,1,20,.015612295,2.0799999,0,1.28,.42283297,-3.2989185,4,1.3100001,13,1.8907692,4,0,2.04,2
3,1,3,.10892055,1.98,0,1.22,.55904746,-1.6356156,4,1.3133333,5,1.97,0,0,2,3
3,1,5,.043529183,1.95,0,1.4299999,.55904746,-2.5528028,2,1.38,5,1.9760001,0,0,1.98,3
3,1,6,.040210813,2,0,1.21,.55904746,-2.6320984,1,,5,1.9660001,0,0,2,3
3,1,9,.032012492,2,0,1.27,.55904746,-2.8601081,2,1.4099998,5,1.9660001,0,0,2,3
3,1,15,.025961351,2.01,0,1.47,.55904746,-3.0696254,2,1.3799999,5,1.964,0,0,2,3
3,1,19,.19031817,1.89,0,1.42,.55904746,-1.0775372,3,1.4,5,1.988,0,0,1.95,3
4,1,1,.060266387,1.61,1,2.05,.3509165,-1.7617738,1,,7,1.9642859,2,2,1.71,4
4,1,3,.15389687,1.98,0,1.24,.3509165,-.8242656,4,1.3066666,7,1.9114287,2,0,1.98,4
4,1,4,.035737835,1.71,1,1.73,.3509165,-2.2843385,3,1.755,7,1.95,2,2,1.61,4
4,1,12,.018594224,2.1600001,0,1.1799999,.3509165,-2.9376974,3,1.2250001,7,1.8857144,2,0,2.0799999,4
4,1,13,.21060267,1.95,0,1.36,.3509165,-.51057506,2,1.2700001,7,1.9157144,2,0,1.98,4
4,1,18,.10444415,1.98,0,1.37,.3509165,-1.2118958,4,1.4000001,7,1.9114287,2,0,1.98,4
4,1,19,.058552023,1.89,0,1.4,.3509165,-1.7906327,3,1.41,7,1.9242858,2,0,1.95,4
4,1,20,.0069893179,2.0799999,0,1.29,.3509165,-3.9161654,4,1.3066667,7,1.897143,2,0,2.1600001,4
5,1,2,.010833841,1.6,1,2.0999999,.47888011,-3.7887757,3,2.085,8,1.915,3,3,1.59,5
5,1,3,.027267193,1.98,0,1.29,.47888011,-2.865766,4,1.29,8,1.8674999,3,0,1.98,5
5,1,5,.020206939,1.95,0,1.38,.47888011,-3.1654241,2,1.4299999,8,1.87125,3,0,1.97,5
5,1,7,.012781497,1.61,1,1.9400001,.47888011,-3.6234517,3,2.0349998,8,1.9137499,3,3,1.6,5
5,1,11,.16409008,1.59,1,1.92,.47888011,-1.0710347,2,1.7500001,8,1.91625,3,3,1.6,5
5,1,12,.046622034,2.1600001,0,1.23,.47888011,-2.3293769,3,1.2,8,1.845,3,0,2.0799999,5
5,1,16,.011077298,1.97,0,1.27,.47888011,-3.7665524,3,1.285,8,1.86875,3,0,1.98,5
5,1,18,.022763237,1.98,0,1.49,.47888011,-3.0463035,4,1.36,8,1.8674999,3,0,1.98,5
5,1,20,.20547779,2.0799999,0,1.36,.47888011,-.84611231,4,1.2833333,8,1.855,3,0,2.1600001,5
1,2,4,.1572327,1.71,1,1.99,.56289309,-1.2753628,2,1.8700001,4,1.9200001,2,2,1.62,6
1,2,14,.01594789,1.62,1,2.24,.56289309,-3.5637631,3,2.1849999,4,1.9425,2,2,1.71,6
1,2,15,.17407906,2.01,0,1.58,.56289309,-1.1735802,3,1.3500001,4,1.845,2,0,1.97,6
1,2,16,.019317161,1.97,0,1.35,.56289309,-3.3720958,2,1.2800001,4,1.855,2,0,2.01,6
1,2,20,.070530102,2.0799999,0,1.01,.56289309,-2.0770502,3,1.1800001,4,1.8275001,2,0,2.01,6
