product_id,eta1,eta2,eta3,eta4,eta5,eta6,eta7,eta8,eta9,eta10,eta11,eta12,eta13,eta14,eta15,eta16,eta17,eta18,eta19,eta20
1,-6.7360001,.233,.211,.25799999,.248,.245,.242,.244,.242,.248,.244,.23899999,.23899999,.233,.23899999,.248,.25799999,.23899999,.23899999,.226
2,.243,-6.79,.206,.235,.228,.241,.25299999,.24600001,.243,.23800001,.20999999,.241,.206,.241,.24699999,.23199999,.252,.20100001,.23,.20900001
3,.62099999,.56300002,-2.5009999,.625,.56999999,.63800001,.52399999,.58200002,.59600002,.58899999,.514,.57700002,.514,.63800001,.59500003,.55199999,.57700002,.59500003,.58499998,.59500003
4,.16500001,.211,.18000001,-6.7930002,.20100001,.204,.20100001,.199,.20999999,.18000001,.20900001,.176,.15700001,.18799999,.191,.211,.204,.20900001,.199,.215
5,.227,.23800001,.21699999,.227,-4.3260002,.235,.233,.233,.221,.21799999,.245,.229,.226,.22400001,.22400001,.241,.25099999,.233,.219,.21600001
6,.16500001,.14399999,.142,.156,.146,-4.928,.162,.149,.153,.156,.14399999,.149,.161,.156,.17399999,.146,.149,.15800001,.146,.149
7,.33000001,.31600001,.29699999,.31,.31600001,.33399999,-6.3979998,.301,.36700001,.30399999,.31600001,.32600001,.338,.31900001,.33399999,.33000001,.308,.31600001,.30700001,.31299999
8,.21799999,.252,.252,.229,.27900001,.22499999,.24699999,-4.1220002,.22400001,.25,.271,.23100001,.28400001,.25299999,.25299999,.245,.22499999,.236,.23999999,.23100001
9,.082000002,.075999998,.074000001,.078000002,.082000002,.079000004,.082000002,.082000002,-5.7649999,.07,.071000002,.079000004,.078000002,.071999997,.082000002,.075000003,.074000001,.082000002,.082000002,.078000002
10,.2,.20100001,.161,.183,.122,.162,.20200001,.171,.161,-4.5219998,.19400001,.189,.20200001,.199,.138,.183,.171,.161,.171,.2
11,.147,.182,.178,.116,.162,.13699999,.162,.15700001,.152,.147,-7.4770002,.121,.162,.161,.14300001,.169,.15899999,.162,.16500001,.17200001
12,.147,.149,.15000001,.149,.16500001,.156,.15099999,.152,.171,.15000001,.167,-4.5500002,.118,.12800001,.15899999,.17,.148,.17299999,.15099999,.17299999
13,.244,.252,.23100001,.292,.28799999,.315,.289,.229,.31799999,.27000001,.33399999,.28400001,-4.1220002,.27000001,.234,.244,.29300001,.28200001,.28600001,.245
14,.317,.30500001,.303,.287,.31099999,.331,.30899999,.31099999,.27200001,.35800001,.30500001,.333,.34599999,-6.3790002,.32100001,.294,.31600001,.28600001,.31900001,.273
15,.132,.13,.139,.131,.167,.122,.132,.13,.17399999,.142,.125,.13500001,.176,.14399999,-4.9959998,.132,.127,.131,.15000001,.133
16,.29499999,.26699999,.27500001,.296,.289,.296,.241,.235,.28400001,.23899999,.28400001,.241,.26699999,.255,.26699999,-4.1760001,.28299999,.29499999,.27500001,.27200001
17,.34799999,.324,.35100001,.352,.34799999,.368,.41,.38499999,.38100001,.43099999,.38499999,.403,.35100001,.354,.377,.39700001,-6.2919998,.324,.359,.33399999
18,.18000001,.18799999,.184,.186,.17299999,.193,.176,.178,.17900001,.186,.167,.18099999,.193,.21699999,.152,.15099999,.108,-4.599,.176,.182
19,.156,.154,.146,.15099999,.16599999,.156,.15700001,.156,.178,.15700001,.156,.178,.156,.16,.155,.154,.16500001,.155,-4.934,.155
20,.183,.18000001,.169,.18799999,.163,.177,.184,.186,.184,.189,.186,.171,.156,.17900001,.198,.163,.13600001,.171,.184,-4.4569998
